Angle (degrees),Phase Function (normalized to 1 at 30 deg),Phase Function SEM,DOLP (%),DOLP SEM (%)
20,2.82079968222564,0.0221141902394455,-1.91283811701473,0.308682426013047
25,1.67476644364526,0.00908099483337049,-2.57876681317639,0.222886808702556
30,1,0,-5.06408669728936,0.474011713357278
35,0.613984667539964,0.0080617981787661,-9.66621998970744,0.628936588936394
40,0.384072700886907,0.0082150228252614,-10.4541093066999,2.22190527866162
45,0.249648921111792,0.00674340004409474,-16.9034397410631,2.44605798327441
50,0.180289866979762,0.00314736254553679,-18.6735757578369,1.25095442531475
55,0.141105392952249,0.00455780802505077,-18.3327631233648,1.93292137693752
60,0.122909622452765,0.00343723222363367,-21.1254973464221,2.52929328602548
65,0.102089842601231,0.00419288757886597,-14.638077533489,4.16388866791538
70,0.0842570234055691,0.003605324394633,-8.0961322900804,3.30795575842567
75,0.0786602970038635,0.00378351518517789,-1.56271028710748,4.34226900384516
80,0.0685902147424887,0.00117193941023625,-10.2215668755533,1.85610912768527
85,0.0586345789636667,0.00268038190570772,-22.8537469535884,4.94732458539572
90,0.0521448287446141,0.0027786731465914,-23.1999375487015,6.32011674212933
95,0.0404184222981077,0.00433381105520946,-42.3486769361049,12.4953136112587
100,0.0325666375144867,0.00269308203102753,-63.9589724291186,11.3098581308519
105,0.0280481225684904,0.00308413412317651,-66.79609213239,9.94762389744864
110,0.021115403479813,0.00381106448545521,-48.8162661989293,13.6418323301775
115,0.0202434369799978,0.00121984597823296,-17.7175834956545,19.1944439980155
120,0.0269931291391322,0.00161739140398453,-1.84043688207888,13.7700294047736
125,0.028849239336859,0.00472836466633411,30.5240850910645,11.5341780417382
130,0.0347885452978428,0.00193308047904028,25.544088881139,10.6202720075942
135,0.0477860739006883,0.00206839393812165,-7.62058016639734,6.49678161157403
140,0.0458499899457191,0.00459850562932402,-25.1396035567239,4.77605113912318
145,0.0577497361617604,0.00332157260989162,-41.1914429892843,2.91683794537334
150,0.0617842636602441,0.000923088550142808,-61.1306476177504,2.9837244247278
155,0.0698039851592464,0.00391587536008911,-55.8363291016338,5.31517709437076
160,0.0785753190011241,0.00508849730627975,-45.4717119063714,4.39679726012675
165,0.106149218294244,0.0058808503419624,-40.4565393947767,3.22316612684209
166,0.110546603942429,0.00572962366970831,-42.8639265191491,4.4672770745365
167,0.109905457035681,0.00744439852657703,-43.0066178489628,1.60391072254287
168,0.120964501200319,0.0089067885493758,-34.2927850532884,2.84347935583896
169,0.125674907726959,0.00776418097766919,-28.6732397581538,2.86614187099329
