Angle (degrees),Phase Function (normalized to 1 at 30 deg),Phase Function SEM,DOLP (%),DOLP SEM (%)
20,2.2599137119055,0.00846706196422562,0.717846787202788,0.243765821293792
25,1.48462537232944,0.009258442153448,2.0363228562997,0.159543818505044
30,1,0,3.53481745291163,0.28913980973522
35,0.684556745388134,0.00181599063357238,5.60618583700896,0.313655668390779
40,0.489115352089293,0.00461856782444816,7.08951656963857,0.5082250790789
45,0.349128304663522,0.00241510863012866,7.99751167081249,0.784814258841826
50,0.255855832694864,0.00191068224595185,10.7225690372498,1.16469588648522
55,0.192617418623778,0.00329671232016687,15.8522045040988,0.6288206948259
60,0.143588107610872,0.00239288751524557,20.2580352778935,0.644854363867776
65,0.108560326578483,0.00194550484788882,25.8242094668183,2.68894698539512
70,0.0822610929462007,0.00382957313357229,35.7114857628806,2.18181737391742
75,0.0697357051583652,0.00314577167982521,37.0234056115284,1.56535548156593
80,0.0574619398783964,0.00209641358294223,43.3729612476387,2.11518976770168
85,0.0501610724266795,0.00160799733542401,49.9558150663839,0.717093143866448
90,0.0438154811324918,0.00162647850250537,48.8620722004342,2.48876129931688
95,0.0410330119366019,0.00202842483870008,42.5486912564036,3.65927687586134
100,0.0402705925181735,0.00172809069581933,33.4191096250482,1.8131777200691
105,0.0379004457775015,0.00170700489470076,23.1631371242109,1.55934591048921
110,0.0367729362769962,0.00140000988493412,21.8205891510179,0.902041831723614
115,0.0323678162619555,0.00141902596211312,27.3336674588782,2.42105915336174
120,0.02747887220103,0.00193255471445386,41.0403209355048,5.5299997025892
125,0.0246102641460151,0.000853361814899105,52.2491325079682,4.01866697949311
130,0.0254705111648772,0.000696399580535758,37.6983229460402,2.73103233712861
135,0.0278107428732136,0.000701325209510127,16.6232760964207,3.29383853852665
140,0.0324331426762264,0.00140764385447233,0.813993444007495,2.11295232848641
145,0.0321010590024828,0.0016894693800624,16.4615666633703,4.53153169664502
150,0.0349793507750727,0.0016002629621046,9.67494764745374,5.97896915351999
155,0.0331522250567076,0.00269065191577743,5.3883864762553,5.33389713903809
160,0.038808949958019,0.00268299782721467,-2.13252151712357,6.52223693855501
165,0.0412563347763813,0.00237033412448985,-4.66208362544116,2.58716523845081
166,0.045575268505745,0.00280819028706557,-4.1692121451838,1.50061809700852
167,0.0493829223144514,0.00227865207679924,-11.594103087025,3.52717893657701
168,0.0530768362283436,0.00245236658481694,-17.0225100103482,4.13062383485436
169,0.0546331872087022,0.00233348667732576,-19.6260152955401,3.36542791081967
